country,happiness_score
Finland,"7,821"
Denmark,"7,636"
Iceland,"7,557"
Switzerland,"7,512"
Netherlands,"7,415"
Luxembourg*,"7,404"
Sweden,"7,384"
Norway,"7,365"
Israel,"7,364"
New Zealand,"7,200"
Austria,"7,163"
Australia,"7,162"
Ireland,"7,041"
Germany,"7,034"
Canada,"7,025"
United States,"6,977"
United Kingdom,"6,943"
Czechia,"6,920"
Belgium,"6,805"
France,"6,687"
Bahrain,"6,647"
Slovenia,"6,630"
Costa Rica,"6,582"
United Arab Emirates,"6,576"
Saudi Arabia,"6,523"
Taiwan Province of China,"6,512"
Singapore,"6,480"
Romania,"6,477"
Spain,"6,476"
Uruguay,"6,474"
Italy,"6,467"
Kosovo,"6,455"
Malta,"6,447"
Lithuania,"6,446"
Slovakia,"6,391"
Estonia,"6,341"
Panama,"6,309"
Brazil,"6,293"
Guatemala*,"6,262"
Kazakhstan,"6,234"
Cyprus,"6,221"
Latvia,"6,180"
Serbia,"6,178"
Chile,"6,172"
Nicaragua,"6,165"
Mexico,"6,128"
Croatia,"6,125"
Poland,"6,123"
El Salvador,"6,120"
Kuwait*,"6,106"
Hungary,"6,086"
Mauritius,"6,071"
Uzbekistan,"6,063"
Japan,"6,039"
Honduras,"6,022"
Portugal,"6,016"
Argentina,"5,967"
Greece,"5,948"
South Korea,"5,935"
Philippines,"5,904"
Thailand,"5,891"
Moldova,"5,857"
Jamaica,"5,850"
Kyrgyzstan,"5,828"
Belarus*,"5,821"
Colombia,"5,781"
Bosnia and Herzegovina,"5,768"
Mongolia,"5,761"
Dominican Republic,"5,737"
Malaysia,"5,711"
Bolivia,"5,600"
China,"5,585"
Paraguay,"5,578"
Peru,"5,559"
Montenegro,"5,547"
Ecuador,"5,533"
Vietnam,"5,485"
Turkmenistan*,"5,474"
North Cyprus*,"5,467"
Russia,"5,459"
Hong Kong S.A.R. of China,"5,425"
Armenia,"5,399"
Tajikistan,"5,377"
Nepal,"5,377"
Bulgaria,"5,371"
Libya*,"5,330"
Indonesia,"5,240"
Ivory Coast,"5,235"
North Macedonia,"5,199"
Albania,"5,199"
South Africa,"5,194"
Azerbaijan*,"5,173"
Gambia*,"5,164"
Bangladesh,"5,155"
Laos,"5,140"
Algeria,"5,122"
Liberia*,"5,122"
Ukraine,"5,084"
Congo,"5,075"
Morocco,"5,060"
Mozambique,"5,048"
Cameroon,"5,048"
Senegal,"5,046"
Niger*,"5,003"
Georgia,"4,973"
Gabon,"4,958"
Iraq,"4,941"
Venezuela,"4,925"
Guinea,"4,891"
Iran,"4,888"
Ghana,"4,872"
Turkey,"4,744"
Burkina Faso,"4,670"
Cambodia,"4,640"
Benin,"4,623"
Comoros*,"4,609"
Uganda,"4,603"
Nigeria,"4,552"
Kenya,"4,543"
Tunisia,"4,516"
Pakistan,"4,516"
Palestinian Territories*,"4,483"
Mali,"4,479"
Namibia,"4,459"
"Eswatini, Kingdom of*","4,396"
Myanmar,"4,394"
Sri Lanka,"4,362"
Madagascar*,"4,339"
Egypt,"4,288"
Chad*,"4,251"
Ethiopia,"4,241"
Yemen*,"4,197"
Mauritania*,"4,153"
Jordan,"4,152"
Togo,"4,112"
India,"3,777"
Zambia,"3,760"
Malawi,"3,750"
Tanzania,"3,702"
Sierra Leone,"3,574"
Lesotho*,"3,512"
Botswana*,"3,471"
Rwanda*,"3,268"
Zimbabwe,"2,995"
Lebanon,"2,955"
Afghanistan,"2,404"
xx,
